Locus_tag	start	stop	strand	KEGG_definition	Knumber	gene_name	COG_category
DLM_0313	302147	302353	+	talin	K06271/K07246	  	  
DLM_0314	302475	303002	-	inorganic pyrophosphatase [EC:3.6.1.1]	K01507	ppa	C
DLM_0315	303130	303750	+	3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]	K06134	cAT5	H
DLM_0320	304459	305856	+	DNA polymerase III subunit epsilon [EC:2.7.7.7]	K02342	uvrC	L
DLM_0321	305869	306618	-	chemotaxis protein MotA	K02556	motA	N
DLM_0322	306658	307404	-	RNA polymerase sigma factor FliA	K02405	fliA	K
DLM_0323	307401	308282	-	flagellar biosynthesis protein FlhG	K04562	flhG	D
DLM_0324	308279	309778	-	flagellar biosynthesis protein FlhF	K02404	flhF	N
DLM_0325	309785	311869	-	flagellar biosynthesis protein FlhA	K02400	flhA	NU
DLM_0326	311876	313042	-	flagellar biosynthesis protein FlhB	K02401	flhB	NU
DLM_0327	313197	314003	+	thymidylate synthase [EC:2.1.1.45]	K00560	thyA	F
DLM_0328	314000	314494	+	dihydrofolate reductase [EC:1.5.1.3]	K00287	  	H
DLM_0329	314562	315233	-		  	gntR	K
DLM_0330	315687	316388	-	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	K00568	ubiG	H
DLM_0331	316392	317711	-	5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	K12960	ssnA	FR
DLM_0332	318020	320767	+	diguanylate cyclase [EC:2.7.7.65]	K21023	rtn	T
DLM_0333	321033	322484	-	putative restriction endonuclease	K07454	  	V
DLM_0334	323370	323648	+	transposase	K07483	  	L
DLM_0335	323708	324520	+	putative transposase	K07497	  	L
DLM_0336	324681	328925	-	DNA replication ATP-dependent helicase Dna2 [EC:3.6.4.12]	K10742	recD	L
DLM_0337	328935	330059	-		  	COG0863	L
DLM_0338	331281	332663	+		  	  	  
DLM_0339	332660	334060	+		  	  	H
DLM_0340	334425	335690	+		  	  	  
DLM_0341	337137	339074	-		  	  	  
DLM_0342	339114	340103	-		  	COG2842	R
DLM_0343	340100	342064	-	putative transposase	K07497	  	  
DLM_0344	343484	344992	-	"lysyl-tRNA synthetase, class II [EC:6.1.1.6]"	K04567	lysU	J
DLM_0345	345115	346182	-	peptide chain release factor 2	K02836	prfB	J
DLM_0346	346334	347314	-	malate dehydrogenase [EC:1.1.1.37]	K00024	mdh	C
DLM_0347	347501	348253	+	GntR family transcriptional regulator	K03710/K02043	phnF	K
DLM_0348	348673	348852	+	"succinate dehydrogenase / fumarate reductase, cytochrome b subunit"	K00241	sdhC	C
DLM_0349	348846	349190	+	"succinate dehydrogenase / fumarate reductase, membrane anchor subunit"	K00242	sdhD	C
DLM_0350	349190	350962	+	"succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"	K00239	sdhA	C
DLM_0351	350976	351686	+	"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"	K00240	frdB	C
DLM_0352	351740	351931	+	antitoxin CptB	K09159/K00240	COG2938	S
DLM_0353	352010	353281	+	citrate synthase [EC:2.3.3.1]	K01647	gltA	C
DLM_0354	353324	353437	-	HlyD family secretion protein	K01993	  	  
DLM_0355	353516	356332	+	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	K00164	sucA	C
DLM_0356	356400	357650	+	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	K00658	aceF	C
DLM_0357	357722	357907	+	solute carrier family 6 (neurotransmitter transporter) member 19	K05334/K02574	  	  
DLM_0358	357921	359354	+	dihydrolipoamide dehydrogenase [EC:1.8.1.4]	K00382	lpd	C
DLM_0359	359555	360724	+	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	K01903	sucC	C
DLM_0360	360752	361636	+	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	K01902	sucD	C
DLM_0361	361748	362242	+		  	  	  
DLM_0362	362362	362814	-		  	COG5608	S
DLM_0363	362811	363701	-		  	lysR	K
DLM_0364	363807	364226	+	holin-like protein	K06518	COG1380	R
DLM_0365	364228	364911	+		  	lrgB	M
DLM_0366	365056	365688	-		  	  	  
DLM_0367	365808	366407	+	acyl-CoA thioesterase YciA [EC:3.1.2.-]	K10806/K10806	COG1607	I
DLM_0368	366453	367130	+	tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]	K06177	rluA	J
DLM_0369	367127	367933	-	chitin disaccharide deacetylase [EC:3.5.1.105]	K03478	COG3394	S
DLM_0370	367930	368319	-		  	COG2246	S
DLM_0371	368316	369326	-	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]	K20534	wcaA	M
DLM_0372	369343	370815	-	4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43]	K07264	arnT	M
DLM_0373	370969	372564	-	"proton-dependent oligopeptide transporter, POT family"	K03305	pTR2	E
DLM_0374	372807	372923	+		  	  	  
DLM_0375	373140	374531	+	tryptophanase [EC:4.1.99.1]	K01667	tnaA	E
DLM_0376	374595	375002	-	putative lipoprotein	K09914	COG3126	S
DLM_0377	374999	375526	-	uncharacterized protein	K09926	COG3198	S
DLM_0378	375530	376975	-		  	napH	C
DLM_0379	377121	378035	-	cytochrome c oxidase cbb3-type subunit III	K00406	cccA	C
DLM_0380	378032	378226	-	cytochrome c oxidase cbb3-type subunit IV	K00407	ccoQ	O
DLM_0381	378230	378844	-	cytochrome c oxidase cbb3-type subunit II	K00405	ccoO	C
DLM_0382	378865	380292	-	cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]	K00404	ccoN	O
DLM_0383	380747	382537	+		  	COG3975	R
DLM_0384	382672	385278	+	aminopeptidase N [EC:3.4.11.2]	K01256	pepN	E
DLM_0385	385388	386338	+		  	COG4757	R
DLM_0386	386403	387050	+	SM-20-related protein	K07394	eGL-9	O
DLM_0387	387111	388211	+	chorismate synthase [EC:4.2.3.5]	K01736	aroC	E
DLM_0388	388259	389683	+	c-di-GMP phosphodiesterase [EC:3.1.4.52]	K07181	COG3434	T
DLM_0389	389958	390194	+	acyl carrier protein	K02078	acpP	IQ
DLM_0390	390191	391420	+	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	K09458/K14660	fabB	IQ
DLM_0391	391473	392117	-	DNA oxidative demethylase [EC:1.14.11.33]	K03919	alkB	L
DLM_0392	392133	393206	-	"AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]"	K10778	ada	L
DLM_0393	393376	394395	-		  	ompC	M
DLM_0394	394912	395079	-	ribosomal protein S6 kinase-like	K20839/K01426	  	  
DLM_0395	395467	396135	+	cobalt/nickel transport system permease protein	K02007	cbiM	P
DLM_0396	396136	396426	+	cobalt/nickel transport protein	K02009	cbiN	P
DLM_0397	396464	397144	+	cobalt/nickel transport system permease protein	K02008	cbiQ	P
DLM_0398	397141	398001	+	cobalt/nickel transport system ATP-binding protein	K02006	cbiO	P
DLM_0399	398071	400344	-	iron complex outermembrane recepter protein	K02014/K19611	cirA	P
DLM_0400	400559	401260	+	periplasmic protein TonB	K03832	tonB	M
DLM_0401	401290	402030	+	biopolymer transport protein ExbB	K03561	tolQ	U
DLM_0402	402034	402450	+	biopolymer transport protein ExbD	K03559/K03560	exbD	U
DLM_0403	403673	403861	-	phospholipase D1/2 [EC:3.1.4.4]	K01115	  	  
DLM_0404	405255	405839	-	CRISPR-associated endonuclease Csy4 [EC:3.1.-.-]	K19130	  	  
DLM_0405	405839	406861	-	CRISPR-associated protein Csy3	K19129	  	  
DLM_0406	406858	407847	-	CRISPR-associated protein Csy2	K19128	  	  
DLM_0407	407844	409181	-	CRISPR-associated protein Csy1	K19127	  	  
DLM_0408	409200	409319	+	autonomous glycyl radical cofactor	K06866	  	  
DLM_0409	409354	412698	-	CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 3.6.4.-]	K07012	COG1203	R
DLM_0410	412695	413672	-	CRISP-associated protein Cas1	K15342	COG1518	L
DLM_0411	414607	417303	+		  	  	  
DLM_0412	417303	420002	+		  	  	  
DLM_0413	422475	422588	-	carotenoid phi-ring synthase / carotenoid chi-ring synthase [EC:1.3.99.39 1.3.99.40]	K09879	  	  
DLM_0414	422898	424055	-	E3 ubiquitin-protein ligase RNF213 [EC:2.3.2.27]	K22754/K02299	  	  
DLM_0415	424209	425954	-		  	  	  
DLM_0417	426391	427548	+		  	COG0436	E
DLM_0418	427642	428316	-	beta-phosphoglucomutase [EC:5.4.2.6]	K01838/K17623	COG0637	R
DLM_0419	428421	429071	+	chromosome partitioning protein	K03496	soj	D
DLM_0420	429254	430204	+	GMP reductase [EC:1.7.1.7]	K00364	guaB	F
DLM_0421	430611	430889	-	ribonuclease inhibitor	K03623	COG2732	K
DLM_0422	430880	431332	-	ribonuclease T1 [EC:4.6.1.24]	K01167	  	  
DLM_0423	431336	432106	-	glutamate racemase [EC:5.1.1.3]	K01776	murI	M
DLM_0424	432126	433433	-	ATP-binding protein involved in chromosome partitioning	K03593	mrp	D
DLM_0425	433445	434842	+	"MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein"	K08160	araJ	G
DLM_0426	434988	437048	+	methionyl-tRNA synthetase [EC:6.1.1.10]	K01874	metG	R
DLM_0427	437271	437456	+	DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]	K03041	  	  
DLM_0428	437603	438217	+		  	  	  
DLM_0430	438872	439861	+	D-lactate dehydrogenase [EC:1.1.1.28]	K03778	ldhA	CHR
DLM_0431	439874	440647	-	uncharacterized protein	K09861	COG3022	S
DLM_0432	440699	441538	-	"trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]"	K06998	COG0384	R
DLM_0433	441590	442042	+	D-aminoacyl-tRNA deacylase [EC:3.1.1.96]	K07560	dtd	J
DLM_0434	442121	444109	-	membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]	K08307	COG4623	M
DLM_0435	444292	445050	-	hydroxyacylglutathione hydrolase [EC:3.1.2.6]	K01069	gloB	R
DLM_0436	445071	445832	+		  	ubiE	H
DLM_0437	445891	446334	+	ribonuclease HI [EC:3.1.26.4]	K03469	  	L
DLM_0438	446365	447114	+	DNA polymerase III subunit epsilon [EC:2.7.7.7]	K02342	  	L
DLM_0439	447111	447794	+	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]	K00991	  	I
DLM_0440	447800	448279	+	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]"	K01770	  	I
DLM_0441	448364	449023	+	ribose 5-phosphate isomerase A [EC:5.3.1.6]	K01807	rpiA	G
DLM_0442	449289	449993	+	phosphate transport system protein	K02039	phoU	P
DLM_0443	450140	451633	+	"exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]"	K01524	gppA	FP
DLM_0444	451636	452703	+	magnesium transporter	K03284	corA	P
DLM_0445	452827	455175	+	P-type Cu+ transporter [EC:7.2.2.8]	K17686	copZ	P
DLM_0446	455192	455407	+	copper chaperone	K07213/K17686	  	P
DLM_0447	455526	456281	+	polar amino acid transport system substrate-binding protein	K02030	hisJ	ET
DLM_0448	456295	457062	-		  	elaC	R
DLM_0449	457263	457937	-	polar amino acid transport system permease protein	K02029	hisM	E
DLM_0450	457934	458671	-	polar amino acid transport system permease protein	K02029	hisM	E
DLM_0451	458761	459567	-	polar amino acid transport system substrate-binding protein	K02030	hisJ	ET
DLM_0452	459760	461328	-	phosphonate transport system permease protein	K02042	COG3639	P
DLM_0453	461322	462119	-	phosphonate transport system ATP-binding protein [EC:7.3.2.2]	K02041	COG3638	P
DLM_0454	462116	462964	-	phosphonate transport system substrate-binding protein	K02044	phnD	P
DLM_0455	463095	463946	-	phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]	K13292	lgt	M
DLM_0456	464145	465998	+	dihydroxy-acid dehydratase [EC:4.2.1.9]	K01687	ilvD	EG
DLM_0457	466166	466804	+	glutathione S-transferase [EC:2.5.1.18]	K00799	gst	O
DLM_0458	467487	467609	-	fanconi anemia group M protein	K10896/K03885	  	  
DLM_0459	467565	468668	+		  	  	  
DLM_0460	468789	470036	+	glycine hydroxymethyltransferase [EC:2.1.2.1]	K00600	glyA	E
DLM_0461	470186	470644	+	transcriptional repressor NrdR	K07738	COG1327	K
DLM_0462	470748	471854	+	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]	K11752	ribD	H
DLM_0463	472029	472730	+	autophagy-related protein 11	K08330	  	  
DLM_0464	472809	474299	+	carboxypeptidase Taq [EC:3.4.17.19]	K01299	COG2317	E
DLM_0465	474366	475223	-		  	COG1639	T
DLM_0466	475364	476236	-		  	mhpC	R
DLM_0467	476438	477310	+	AraC family transcriptional regulator	K13652	araC	K
DLM_0468	477324	477809	+	AraC family transcriptional regulator	K13652	COG3449	L
DLM_0469	477890	479353	-	IMP dehydrogenase [EC:1.1.1.205]	K00088	COG0517	R
DLM_0470	479512	479922	+		  	  	  
DLM_0471	479927	481732	+	excinuclease ABC subunit C	K03703	uvrC	L
DLM_0472	481759	482340	+	cardiolipin synthase (CMP-forming) [EC:2.7.8.41]	K08744/K00995	pgsA	I
DLM_0478	483018	484094	-	major type 1 subunit fimbrin (pilin)	K07345	fimA	NU
DLM_0479	484174	486639	-	outer membrane usher protein	K07347	fimD	NU
DLM_0480	486746	486877	-	chaperone protein EcpD	K15540	  	NU
DLM_0481	487581	487937	-	major type 1 subunit fimbrin (pilin)	K07345	fimA	NU
DLM_0482	488312	488839	-	major type 1 subunit fimbrin (pilin)	K07345	fimA	NU
DLM_0483	489260	490267	+		  	  	  
DLM_0484	490331	491527	-	aromatic-amino-acid transaminase [EC:2.6.1.57]	K00832	tyrB	E
DLM_0486	492038	492442	+	ProP effector	K03607	proQ	T
DLM_0487	492585	493664	+	glycerate 2-kinase [EC:2.7.1.165]	K00865	COG1929	G
DLM_0488	494154	495017	-	voltage-gated potassium channel	K10716	kch	P
DLM_0489	495139	496071	+	cysteine synthase [EC:2.5.1.47]	K01738	cysK	E
DLM_0490	496220	496693	+	crooked neck	K12869	  	  
DLM_0491	496671	497111	+	SEC-C motif domain protein	K09858	COG3012	S
DLM_0492	497407	497715	+	ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]	K16898/K03575	  	  
DLM_0493	498058	498627	-	dCTP deaminase [EC:3.5.4.13]	K01494	dcd	F
DLM_0494	498890	499078	+	ferrous iron transport protein A	K04758/K03709	  	P
DLM_0495	499075	500844	+	ferrous iron transport protein B	K04759	feoB	P
DLM_0496	500978	501916	+	dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	K00226	pyrD	F
DLM_0497	501973	502593	-	"4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]"	K15777	COG3384	S
DLM_0498	502879	503097	+	diacylglycerol kinase (ATP) [EC:2.7.1.107]	K00901/K07107	  	  
DLM_0499	503331	505505	-	catalase-peroxidase [EC:1.11.1.21]	K03782	katG	P
DLM_0500	505971	506975	-	recombination associated protein RdgC	K03554	rdgC	L
DLM_0504	507722	508582	-		  	COG0702	MG
DLM_0505	508993	509106	+	speckle-type POZ protein	K10523	  	  
DLM_0506	509477	510319	-		  	fabG	IQR
DLM_0507	510452	511420	+		  	lysR	K
DLM_0508	511543	511725	-	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	K07304/K08307	  	  
DLM_0509	511736	513214	-	"outer membrane protein, multidrug efflux system"	K18903	tolC	MU
DLM_0510	513227	516469	-	multidrug efflux pump	K18902/K18299	acrB	V
DLM_0511	516490	517692	-	"membrane fusion protein, multidrug efflux system"	K18901/K18298	acrA	M
DLM_0512	517992	518888	-		  	lysR	K
DLM_0513	518989	519576	-		  	acrR	K
DLM_0514	519757	521196	-	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	K00135	putA	C
DLM_0515	521373	522341	-		  	lysR	K
DLM_0516	522476	523624	+	NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]	K08325/K19955	COG1979	C
DLM_0517	523649	524482	+		  	fabG	IQR
DLM_0518	524653	525237	+		  	wcaG	MG
DLM_0519	525234	526670	+		  	proP	GEPR
DLM_0520	526715	527566	+	"2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]"	K06221	aRA1	R
DLM_0521	527766	528950	-	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	K00626	paaJ	I
DLM_0522	529208	530662	-	NTE family protein	K07001	araJ	G
DLM_0523	530746	531552	-	1-acylglycerone phosphate reductase [EC:1.1.1.101]	K06123	COG4221	R
DLM_0524	531574	532332	-	uncharacterized oxidoreductase [EC:1.-.-.-]	K14189	dltE	M
DLM_0525	532381	533370	-		  	mhpC	R
DLM_0526	533529	533918	+		  	COG1733	K
DLM_0527	533878	534054	-	ELMO domain-containing protein	K23538/K12686	  	  
DLM_0528	534110	537178	-		  	  	V
DLM_0529	537175	538248	-		  	acrA	M
DLM_0530	538375	538872	-		  	acrR	K
DLM_0531	539193	540530	+		  	tolC	MU
DLM_0532	541323	541463	+	"two-component system, OmpR family, response regulator VanR"	K18344/K02990	  	  
DLM_0533	541460	542023	+	SH3 domain-containing YSC84-like protein 1	K20523	COG2930	S
DLM_0534	542156	543355	-	cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	K00574	cfa	M
DLM_0535	543354	543503	+	homeobox protein ventral anterior	K09318/K03106	  	  
DLM_0536	543542	543832	-		  	COG3237	S
DLM_0537	544084	544491	+		  	  	  
DLM_0538	544579	544713	+	short-chain fatty acids transporter	K02106	  	  
DLM_0539	544927	545493	-		  	  	  
DLM_0540	545504	545896	-		  	  	  
DLM_0541	545904	546224	-	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	K01607	COG0599	S
DLM_0542	546331	547215	+		  	lysR	K
DLM_0543	547427	547903	-	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]	K03775	slpA	O
DLM_0544	548068	548625	+	"Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"	K03719/K05800	lrp	K
DLM_0545	548763	548987	-	molecular chaperone DnaJ	K03686/K07016	  	  
DLM_0546	549253	552309	-	multidrug efflux pump	K18138	  	V
DLM_0547	552319	553446	-	"membrane fusion protein, multidrug efflux system"	K03585	acrA	M
DLM_0548	553495	555036	-		  	tolC	MU
DLM_0549	555121	555717	-	TetR/AcrR family transcriptional regulator	K09017	COG3226	S
DLM_0550	556124	557740	+	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]	K18118	aCH1	C
DLM_0551	557948	558964	-	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	K00010	mviM	R
DLM_0552	559023	560009	-	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	K00010	mviM	R
DLM_0553	561282	562151	-	2-keto-myo-inositol isomerase [EC:5.3.99.11]	K06606	COG4130	G
DLM_0554	562525	564384	+	"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]"	K03336	COG3962	E
DLM_0555	564414	565322	+	inosose dehydratase [EC:4.2.1.44]	K03335	iolE	G
DLM_0556	565685	566623	+	inositol transport system substrate-binding protein	K17213/K10439	rbsB	G
DLM_0557	566682	568229	+	inositol transport system ATP-binding protein	K17215/K10542	mglA	G
DLM_0558	568279	569304	+	inositol transport system permease protein	K17214	araH	G
DLM_0559	570329	571195	-		  	rpiR	K
DLM_0560	571422	573368	+	5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]	K03338	rbsK	G
DLM_0561	573386	574303	+	inosose dehydratase [EC:4.2.1.44]	K03335	iolE	G
DLM_0562	574300	575097	+	5-deoxy-glucuronate isomerase [EC:5.3.1.30]	K03337	iolB	G
DLM_0563	575214	576707	+	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	K00140	putA	C
DLM_0564	576869	577705	-	DedD protein	K03749	dedD	S
DLM_0565	577844	578269	+	nucleoside-diphosphate kinase [EC:2.7.4.6]	K00940	ndk	F
DLM_0566	578338	579432	+	23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]	K06941	COG0820	R
DLM_0567	579429	580172	+	type IV pilus assembly protein PilF	K02656	pilF	NU
DLM_0568	580175	581104	+	cytoskeleton protein RodZ	K15539	  	S
DLM_0569	581119	582402	+	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]	K03526	  	I
DLM_0570	582457	583728	+	histidyl-tRNA synthetase [EC:6.1.1.21]	K01892	hisS	J
DLM_0571	583746	584375	+		  	COG2976	S
DLM_0572	584379	585518	+	outer membrane protein assembly factor BamB	K17713	COG1520	S
DLM_0573	585530	586942	+	GTPase	K03977	  	R
DLM_0574	587032	587289	+	host factor-I protein	K03666	  	R
DLM_0575	587429	588559	+	GTPase	K03665	hflX	R
DLM_0576	588642	589757	+	modulator of FtsH protease HflK	K04088	hflC	O
DLM_0577	589771	590637	+	modulator of FtsH protease HflC	K04087	hflC	O
DLM_0578	590749	591900	+	ATP phosphoribosyltransferase regulatory subunit	K02502	  	E
DLM_0579	591933	593228	+	adenylosuccinate synthase [EC:6.3.4.4]	K01939	purA	F
DLM_0580	593368	594417	+	scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.371]	K16044	mviM	R
DLM_0581	594414	594905	+		  	COG4702	S
DLM_0582	594918	596219	-	cytochrome c peroxidase [EC:1.11.1.5]	K00428	mauG	P
DLM_0583	596373	597989	+	phospholipase C [EC:3.1.4.3]	K01114	plcC	M
DLM_0584	598136	599554	+		  	araJ	G
DLM_0588	600051	602666	+	ribonuclease R [EC:3.1.13.1]	K12573	vacB	K
DLM_0594	608490	609890	+	"two-component system, NtrC family, sensor histidine kinase GlrK [EC:2.7.13.3]"	K07711	baeS	T
DLM_0595	610089	610424	+	transcription factor SOX5/6/13 (SOX group D)	K09269/K09747	  	  
DLM_0596	610421	611767	+	"two-component system, NtrC family, response regulator GlrR"	K07715	atoC	T
DLM_0597	612001	612333	+	valyl-tRNA synthetase [EC:6.1.1.9]	K01873	  	  
DLM_0598	612402	612740	-	uncharacterized protein involved in oxidation of intracellular sulfur	K06039	dsrE	P
DLM_0599	613045	616641	+	"RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]"	K13821	putA	E
DLM_0600	616848	618077	+	branched-chain amino acid transport system substrate-binding protein	K01999	livK	E
DLM_0601	618214	618957	+	serine/threonine protein phosphatase 1 [EC:3.1.3.16]	K07313	  	  
DLM_0602	619238	619600	+	uncharacterized protein	K06938	COG3313	R
DLM_0603	619608	620741	-	uncharacterized protein	K06987	COG3608	R
DLM_0604	621268	621966	+	"two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC [EC:2.7.13.3]"	K07677/K07679	arcB	T
DLM_0605	622019	622957	-	"4-hydroxyphenylacetate 3-hydroxylase, reductase component [EC:1.5.1.36]"	K23470/K16048	COG1853	R
DLM_0606	622993	624159	-	4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]	K23492/K16047	caiA	I
